quarter,quarterly_change_pct,implied_bgn_per_m2,implied_eur_per_m2,cumulative_factor
2015-Q1,1.4,1522.72,778.56,1.01400000
2015-Q2,0.5,1530.34,782.45,1.01907000
2015-Q3,-2.3,1495.14,764.45,0.99563139
2015-Q4,5.7,1580.36,808.03,1.05238238
2016-Q1,1.7,1607.23,821.76,1.07027288
2016-Q2,8.6,1745.45,892.43,1.16231635
2016-Q3,-0.5,1736.72,887.97,1.15650477
2016-Q4,4.7,1818.35,929.71,1.21086049
2017-Q1,-0.7,1805.62,923.20,1.20238447
2017-Q2,5.8,1910.35,976.74,1.27212277
2017-Q3,3.1,1969.57,1007.02,1.31155857
2017-Q4,2.8,2024.72,1035.22,1.34828221
2018-Q1,1.3,2051.04,1048.68,1.36580988
2018-Q2,2.5,2102.31,1074.90,1.39995513
2018-Q3,-0.2,2098.11,1072.75,1.39715522
2018-Q4,2.6,2152.66,1100.64,1.43348125
2019-Q1,0.3,2159.12,1103.94,1.43778170
2019-Q2,0.5,2169.91,1109.46,1.44497060
2019-Q3,2.5,2224.16,1137.20,1.48109487
2019-Q4,0.3,2230.83,1140.61,1.48553815
2020-Q1,3.5,2308.91,1180.53,1.53753199
2020-Q2,-1.6,2271.97,1161.64,1.51293148
2020-Q3,6.9,2428.74,1241.79,1.61732375
2020-Q4,2.1,2479.74,1267.87,1.65128755
2021-Q1,3.6,2569.01,1313.51,1.71073390
2021-Q2,-0.9,2545.89,1301.69,1.69533729
2021-Q3,3.8,2642.63,1351.16,1.75976011
2021-Q4,1.7,2687.56,1374.13,1.78967603
2022-Q1,9.0,2929.44,1497.80,1.95074688
2022-Q2,3.7,3037.83,1553.22,2.02292451
2022-Q3,5.8,3214.02,1643.30,2.14025413
2022-Q4,-0.6,3194.74,1633.44,2.12741261
2023-Q1,2.2,3265.02,1669.38,2.17421569
2023-Q2,3.5,3379.30,1727.81,2.25031323
2023-Q3,2.1,3450.26,1764.09,2.29756981
2023-Q4,-0.2,3443.36,1760.56,2.29297467
2024-Q1,7.4,3698.17,1890.84,2.46265480
2024-Q2,3.3,3820.21,1953.24,2.54392241
2024-Q3,3.5,3953.92,2021.60,2.63295969
2024-Q4,3.6,4096.26,2094.38,2.72774624
2025-Q1,5.2,4309.26,2203.29,2.86958904
2025-Q2,2.9,4434.23,2267.19,2.95280713
2025-Q3,6.8,4735.76,2421.35,3.15359801
2025-Q4,-1.4,4669.46,2387.46,3.10944764
2026-Q1,6.8,4986.98,2549.80,3.32089008
2026-Q2,1.0,5036.85,2575.30,3.35409898
